Study_Hours,Attendance,Assignments_Completed,Internal_Marks,Result
4.75,73.86,6,37.43,1
5.33,99.73,3,38.28,1
1.17,83.96,6,19.3,0
3.34,53.7,9,45.23,1
7.84,99.64,2,31.51,1
2.23,70.39,6,44.28,0
5.82,64.37,3,20.84,1
2.94,77.89,7,40.22,1
1.11,65.22,8,32.98,0
3.17,54.32,6,11.94,0
9.78,50.07,7,26.21,1
8.21,72.48,7,17.36,1
9.64,91.84,1,24.37,1
5.39,78.62,8,25.33,1
1.99,99.96,5,29.0,1
5.93,64.34,3,34.01,1
5.09,64.02,4,32.84,1
8.6,57.99,9,11.56,1
1.88,58.2,4,40.03,0
5.39,64.26,6,47.97,1
2.35,89.64,8,23.95,1
3.92,95.29,6,17.19,1
7.64,98.75,8,31.6,1
5.28,61.61,3,38.2,0
4.38,94.06,9,37.16,1
4.55,66.41,9,34.48,1
5.14,55.64,3,15.85,0
8.07,93.5,5,43.47,1
9.03,81.81,7,27.02,1
9.6,58.24,8,18.86,1
8.08,71.49,0,13.45,1
3.84,64.36,0,26.67,0
7.19,86.84,7,34.72,1
4.94,72.67,6,36.62,1
3.29,99.46,8,48.51,1
8.57,52.74,2,16.13,1
1.35,67.75,9,49.43,0
9.12,74.1,4,36.19,1
5.15,75.16,2,28.17,0
6.73,65.8,4,45.53,1
6.93,86.46,9,37.78,1
9.06,93.74,0,23.95,1
6.73,96.94,3,45.36,1
6.53,90.25,5,36.66,1
1.6,92.53,1,37.95,0
5.67,77.53,6,45.86,1
2.35,91.29,7,27.94,1
7.64,65.18,0,36.28,1
5.61,69.92,3,39.79,1
7.12,65.85,3,28.16,1
1.38,73.37,4,13.34,0
1.76,64.28,3,40.86,0
7.45,98.08,8,11.91,1
1.65,65.64,6,38.72,0
1.64,54.9,1,46.44,0
1.11,76.34,0,23.88,0
9.61,52.85,8,14.08,1
7.64,55.53,0,19.31,0
4.18,60.97,5,32.49,0
3.67,73.22,1,47.71,0
4.15,71.66,3,30.49,0
7.97,89.98,5,14.51,1
6.95,86.97,4,35.11,1
2.67,71.32,5,39.31,0
2.57,66.69,2,25.73,0
1.89,65.82,4,38.86,0
6.94,88.7,1,22.99,1
7.88,52.6,6,41.56,1
3.39,50.64,2,23.64,0
1.19,89.78,0,20.24,0
1.74,73.86,7,45.17,0
9.71,56.54,7,31.94,1
3.66,61.78,2,21.41,0
7.92,96.63,6,47.4,1
6.62,92.98,8,37.63,1
4.44,85.49,7,18.83,1
2.85,74.11,2,34.59,0
2.09,76.02,1,44.81,0
6.54,98.76,9,37.85,1
7.97,98.29,6,19.79,1
6.8,60.76,6,35.95,1
5.77,90.56,8,34.77,1
1.38,59.86,4,42.83,0
9.72,60.68,3,17.13,1
8.19,83.8,7,37.99,1
3.64,70.25,3,11.09,0
9.82,96.58,3,37.85,1
6.42,54.45,1,48.42,0
6.24,75.58,0,16.98,0
7.73,95.93,3,22.45,1
8.31,95.21,6,33.31,1
6.91,57.83,8,39.3,1
2.15,68.33,8,23.77,0
4.04,80.96,9,36.57,1
9.35,57.97,0,45.97,1
3.02,98.4,4,39.06,1
4.35,95.74,6,38.44,1
4.89,58.35,6,25.28,1
4.95,56.06,9,46.46,1
6.52,54.27,5,21.09,1
9.49,95.47,9,18.21,1
3.17,59.68,3,24.57,0
2.09,70.81,2,36.01,0
2.78,72.44,8,44.47,1
8.98,79.95,9,15.28,1
6.81,53.59,3,42.55,1
3.57,61.34,7,42.51,1
8.34,96.57,0,33.48,1
8.75,95.42,6,40.43,1
8.62,89.06,5,17.28,1
9.27,50.97,0,16.78,1
3.27,66.35,3,44.51,0
7.8,81.4,4,29.93,1
5.14,63.76,7,19.84,1
8.58,95.48,3,37.55,1
7.56,81.69,2,45.68,1
7.99,53.6,1,35.29,1
6.91,95.45,3,23.89,1
2.6,97.89,9,29.33,1
5.91,53.89,3,40.09,0
9.86,76.62,9,12.7,1
9.44,65.17,4,18.69,1
1.39,69.64,6,28.5,0
2.48,58.98,8,34.17,0
2.19,78.9,1,23.57,0
7.53,97.9,4,21.94,1
8.36,75.15,9,11.66,1
2.92,54.15,8,11.3,0
5.55,81.0,2,21.15,1
8.57,67.01,0,31.22,1
7.6,92.8,1,32.25,1
5.88,71.73,5,29.76,1
6.31,59.64,4,26.4,1
5.58,59.56,0,20.09,0
3.68,88.44,0,26.03,0
6.09,63.28,3,15.55,1
7.2,88.36,3,14.61,1
8.86,60.29,5,22.0,1
6.73,66.08,5,49.81,1
7.85,73.27,9,23.06,1
2.44,97.16,5,47.46,1
5.15,96.59,0,25.69,1
1.08,60.34,9,27.56,0
3.22,67.91,8,41.88,1
7.54,57.47,6,13.75,1
9.93,75.5,6,17.29,1
1.89,73.03,6,48.95,0
4.61,95.04,1,30.24,1
8.2,96.5,1,11.77,1
2.84,69.18,5,11.9,0
6.0,74.59,6,46.29,1
7.6,94.81,2,44.93,1
6.54,90.34,3,28.34,1
2.69,50.18,2,16.53,0
4.2,66.0,6,43.21,1
8.05,71.09,6,22.98,1
5.99,61.49,3,26.76,1
1.05,59.98,6,37.3,0
7.85,51.89,4,24.14,1
1.32,82.17,0,35.15,0
7.71,63.13,9,45.41,1
2.82,52.62,3,41.89,0
9.62,61.55,6,25.26,1
4.31,90.1,1,21.52,0
3.94,92.57,1,21.42,0
2.34,74.15,0,23.94,0
3.75,70.8,1,29.74,0
8.89,98.89,9,26.66,1
9.97,60.03,7,15.32,1
4.31,60.77,7,16.54,1
5.04,64.59,7,23.72,1
7.5,58.64,0,32.48,1
8.98,68.97,0,33.71,1
6.34,95.54,9,29.45,1
4.52,80.77,3,39.55,1
4.71,70.6,5,39.49,1
7.26,96.72,7,27.11,1
1.03,52.42,1,14.98,0
6.58,60.51,2,31.21,1
4.2,78.29,5,25.26,1
8.15,80.78,9,15.52,1
1.84,51.98,3,49.27,0
6.29,70.15,1,24.79,1
5.33,82.46,6,35.03,1
6.78,84.9,3,29.61,1
1.58,81.91,7,15.71,0
6.22,66.03,7,12.22,1
6.05,54.68,6,35.03,1
6.05,71.36,9,19.88,1
6.43,56.44,8,19.75,1
7.09,97.38,3,48.28,1
8.24,73.76,6,28.47,1
3.43,65.86,9,11.18,1
8.43,88.32,9,23.59,1
5.48,74.9,0,33.38,0
1.69,65.5,3,23.14,0
1.53,90.6,1,11.07,0
4.01,93.36,8,27.77,1
8.06,83.65,4,14.24,1
7.37,52.35,2,34.77,1
8.1,78.32,3,34.78,1
5.66,88.16,5,11.51,1
4.96,56.83,9,21.63,1
2.33,61.43,0,26.55,0
3.95,94.12,6,32.01,1
4.91,51.01,7,21.84,1
1.8,87.64,6,21.51,0
2.99,73.69,6,49.32,1
6.38,72.34,8,11.67,1
7.62,50.35,3,49.56,1
9.99,90.97,6,11.91,1
9.4,67.99,8,21.53,1
6.78,77.04,4,29.75,1
4.79,83.87,1,15.73,0
6.73,85.13,4,15.39,1
8.07,97.8,3,20.25,1
2.07,76.57,7,48.94,1
4.69,69.99,4,25.2,1
8.56,97.69,8,32.64,1
4.45,82.11,8,38.17,1
6.15,64.91,2,39.69,1
6.29,56.32,9,37.52,1
2.66,92.13,5,23.48,1
4.26,68.11,5,14.47,0
4.01,83.02,3,21.27,0
1.24,73.54,9,18.41,0
1.22,59.95,2,15.45,0
8.49,80.08,0,10.98,1
3.46,53.03,6,47.43,0
5.66,70.67,4,46.84,1
3.69,77.33,9,12.02,1
9.47,71.8,6,16.92,1
3.33,87.43,0,15.58,0
4.87,91.4,7,21.25,1
8.85,88.56,2,18.16,1
8.58,51.94,6,47.83,1
2.67,59.71,2,13.37,0
8.22,76.83,2,18.47,1
5.12,96.74,9,13.23,1
5.35,91.75,8,49.22,1
2.2,92.13,1,46.74,0
1.73,65.16,3,38.67,0
7.55,71.47,5,27.04,1
5.47,73.54,2,17.61,0
4.93,57.87,9,18.86,1
7.57,51.55,9,27.72,1
7.89,97.35,6,40.73,1
2.43,62.04,6,20.59,0
6.49,62.0,4,22.43,1
2.22,54.17,2,34.0,0
7.76,96.43,1,19.51,1
6.91,78.99,3,33.37,1
9.61,83.35,3,25.49,1
1.62,95.58,7,11.37,1
1.51,67.28,7,26.11,0
3.54,81.08,4,46.78,1
3.36,51.94,5,21.72,0
3.22,59.34,7,22.91,0
9.16,91.56,0,12.64,1
3.25,88.34,4,34.6,1
3.45,67.53,3,43.97,0
7.83,68.84,3,24.12,1
5.05,76.68,1,19.61,0
7.99,50.01,9,48.26,1
1.59,62.06,0,39.8,0
5.39,60.41,5,32.69,1
1.3,62.52,6,22.22,0
1.56,90.3,4,18.83,0
9.16,63.98,7,38.63,1
2.25,59.58,8,30.87,0
5.79,75.21,1,30.82,1
4.7,93.28,3,12.95,1
4.13,62.07,8,30.49,1
9.1,53.93,4,42.91,1
1.2,67.82,2,47.87,0
6.97,87.38,5,14.27,1
9.67,77.53,2,35.25,1
6.04,90.84,4,32.73,1
9.43,97.98,2,45.61,1
1.47,89.63,5,40.05,0
4.77,80.19,9,48.61,1
3.34,74.67,4,48.4,0
7.58,52.0,8,19.03,1
9.83,99.22,2,39.01,1
3.31,69.17,5,31.22,0
6.89,57.61,7,18.58,1
2.78,83.34,6,17.79,0
6.09,64.21,5,13.24,1
5.18,79.29,1,41.82,1
9.75,79.34,6,22.98,1
6.48,72.29,7,44.28,1
4.15,91.81,0,34.33,0
2.03,63.25,8,36.95,0
2.36,72.43,3,21.67,0
3.03,76.88,7,28.29,1
3.26,83.18,9,26.49,1
8.66,89.2,6,19.43,1
6.05,69.74,9,43.3,1
5.71,82.3,6,34.88,1
2.03,57.53,1,11.5,0
8.74,96.63,0,42.8,1
7.51,69.15,3,14.24,1
1.61,86.48,1,26.15,0
7.37,51.02,7,32.85,1
5.89,60.26,9,10.31,1
1.74,74.35,6,36.12,0
5.12,93.91,7,36.39,1
5.36,76.36,5,36.1,1
2.49,96.49,0,16.54,0
9.51,74.19,8,20.23,1
8.65,74.52,5,19.9,1
7.02,55.99,9,48.4,1
5.16,90.13,0,12.7,0
4.71,62.35,0,27.15,0
6.86,94.98,7,44.85,1
5.91,95.54,5,40.78,1
1.56,97.17,7,42.9,1
5.61,76.01,7,48.89,1
8.26,83.85,7,25.49,1
5.13,88.93,9,22.39,1
1.47,56.55,6,11.23,0
8.08,80.05,6,16.0,1
2.81,51.71,9,32.48,0
3.33,74.88,3,16.31,0
2.48,57.74,8,39.45,0
3.97,59.15,1,11.49,0
7.81,68.25,8,20.38,1
5.67,71.62,9,37.82,1
2.84,81.16,2,20.22,0
8.9,53.72,1,39.15,1
8.92,75.18,3,49.83,1
8.84,59.13,4,41.88,1
3.15,78.7,1,23.67,0
5.06,81.87,0,46.02,0
9.86,77.84,9,12.05,1
7.95,86.91,4,39.0,1
1.24,66.78,8,10.93,0
1.59,88.26,4,16.98,0
5.18,71.64,9,49.5,1
9.18,74.21,8,24.44,1
5.85,82.41,9,42.82,1
5.48,50.92,5,25.04,0
1.95,82.7,2,43.6,0
6.91,80.93,3,48.62,1
8.4,65.49,3,27.42,1
4.42,54.29,0,32.37,0
7.98,54.55,2,35.15,1
9.68,96.16,2,47.39,1
2.83,84.46,0,20.27,0
5.71,56.36,8,34.45,1
3.58,67.84,0,22.99,0
8.14,79.62,8,18.68,1
6.2,91.78,0,13.4,1
6.71,52.18,1,34.83,0
8.18,61.83,1,45.28,1
4.56,94.49,5,24.06,1
9.24,50.46,6,32.11,1
5.8,60.07,0,35.69,0
2.42,97.95,2,26.59,0
7.26,80.67,1,46.13,1
8.14,63.08,7,24.51,1
3.85,53.35,8,15.0,0
8.71,51.41,1,15.76,1
9.16,62.24,1,45.63,1
3.49,94.07,9,49.52,1
9.85,70.8,8,21.56,1
2.27,86.02,3,15.74,0
2.82,95.91,4,29.29,1
2.66,70.4,8,38.38,1
9.05,59.56,5,34.5,1
6.89,75.86,9,48.04,1
2.37,95.4,8,42.71,1
4.96,90.22,8,44.76,1
6.54,53.29,6,31.67,1
1.75,84.63,9,23.09,1
8.94,78.59,8,38.07,1
8.23,95.37,4,27.56,1
5.55,56.12,4,21.51,0
9.7,76.7,7,16.09,1
4.76,93.97,9,31.11,1
9.86,70.5,3,33.77,1
7.01,74.1,8,32.75,1
6.71,53.52,6,14.66,1
2.49,63.91,6,32.8,0
8.94,66.23,2,16.74,1
4.85,97.26,3,36.55,1
2.46,64.13,6,27.18,0
1.11,73.04,4,43.95,0
6.04,83.57,2,41.13,1
5.75,58.11,0,38.98,0
7.47,74.32,6,38.03,1
9.01,86.93,5,32.42,1
1.71,93.34,9,12.44,1
7.58,81.31,6,36.22,1
2.69,83.45,1,28.68,0
8.72,56.31,3,28.78,1
8.37,97.29,1,25.16,1
5.87,56.63,7,47.16,1
7.39,88.73,6,19.98,1
3.83,63.24,0,22.66,0
5.24,96.68,1,48.52,1
8.39,86.0,1,42.41,1
5.13,87.69,3,10.56,1
4.22,60.95,2,46.24,0
5.45,72.15,0,19.07,0
8.45,80.89,1,38.24,1
4.02,88.5,8,32.12,1
2.56,55.2,0,31.47,0
7.41,98.12,8,38.72,1
8.43,94.51,6,18.29,1
1.91,63.52,1,16.36,0
3.16,91.14,1,36.08,0
2.28,75.92,4,21.62,0
4.13,73.09,4,48.96,1
5.05,65.72,3,28.06,0
7.74,79.05,9,14.46,1
6.86,86.49,9,37.43,1
6.59,70.55,2,22.25,1
4.17,81.46,3,15.94,0
8.57,84.97,9,26.91,1
5.24,85.56,3,48.57,1
9.81,52.6,1,26.46,1
6.71,92.99,4,23.89,1
2.14,72.91,4,27.78,0
7.09,63.12,4,10.48,1
3.93,62.09,9,15.32,1
7.18,74.15,0,43.99,1
1.63,94.34,5,49.12,0
2.57,68.92,1,16.32,0
8.7,87.49,6,31.42,1
3.04,54.84,3,48.65,0
8.53,73.8,4,16.26,1
3.51,99.58,4,17.45,1
6.79,88.52,4,47.07,1
7.25,60.53,1,38.23,1
5.61,75.07,4,16.08,1
3.75,61.68,2,25.74,0
2.91,70.48,3,12.25,0
1.3,89.0,1,27.31,0
3.74,88.56,3,41.12,1
6.88,61.41,8,32.16,1
9.44,96.11,7,35.9,1
8.84,79.63,2,23.07,1
7.89,69.0,0,16.46,1
8.1,75.1,0,10.52,1
6.98,80.25,5,42.85,1
3.34,77.99,2,35.47,0
9.16,74.32,3,19.17,1
7.04,75.25,0,26.74,1
6.04,58.82,7,42.06,1
2.0,90.64,0,31.55,0
5.02,77.09,4,22.01,1
5.14,56.55,5,20.69,0
8.78,88.31,1,18.7,1
5.92,96.62,6,42.95,1
4.42,97.37,6,33.27,1
9.79,68.45,0,38.37,1
2.0,56.78,3,44.4,0
4.8,75.92,3,49.47,1
1.38,55.63,4,19.98,0
7.66,96.7,0,17.24,1
9.26,59.18,0,28.48,1
3.52,62.64,6,11.4,0
8.73,70.33,8,41.67,1
3.63,69.16,0,45.35,0
9.2,89.73,1,37.44,1
7.79,72.82,5,20.72,1
8.24,58.54,5,14.93,1
1.16,63.36,1,25.29,0
9.67,75.46,8,43.33,1
7.54,57.37,3,23.91,1
3.74,80.58,6,11.37,1
8.46,78.29,5,20.97,1
3.53,85.74,2,49.6,0
8.85,96.89,7,37.07,1
2.01,95.61,6,46.03,1
7.33,97.3,8,40.99,1
5.87,62.24,2,31.59,0
1.87,56.58,0,15.95,0
3.18,65.11,1,23.95,0
1.11,94.75,0,33.35,0
5.22,98.6,4,44.83,1
3.71,92.97,9,20.75,1
6.39,55.5,1,14.85,0
3.68,97.37,2,32.35,1
3.7,71.17,7,17.06,1
7.69,50.47,9,34.41,1
1.43,72.12,4,20.54,0
9.13,52.3,3,19.24,1
8.67,77.19,4,25.97,1
7.01,66.93,9,33.73,1
6.34,73.67,5,31.81,1
9.03,80.66,6,19.79,1
2.67,93.44,8,45.64,1
1.71,83.1,0,14.4,0
3.16,71.7,3,11.58,0
8.15,90.97,8,34.11,1
1.31,95.28,4,14.94,0
6.25,55.99,7,30.2,1
9.96,76.6,0,48.07,1
8.7,64.23,3,37.94,1
5.69,52.35,8,34.7,1
1.57,83.43,0,32.99,0
8.48,93.14,0,17.18,1
6.39,58.15,3,27.31,1
2.03,90.62,2,23.7,0
1.84,92.67,6,48.12,1
9.19,95.72,2,19.69,1
7.02,63.26,0,28.86,0
8.46,95.2,9,47.52,1
8.91,66.03,1,41.57,1
6.15,77.62,9,48.58,1
5.66,52.53,3,34.33,0
4.87,52.19,0,23.35,0
3.85,86.02,0,43.07,0
4.91,72.22,7,21.66,1
7.96,62.81,6,16.59,1
6.42,59.52,7,38.25,1
9.03,83.5,3,35.56,1
4.99,50.02,5,45.16,0
6.46,90.29,2,48.48,1
6.68,53.96,7,44.29,1
6.33,59.57,3,12.4,1
7.32,69.31,2,36.58,1
3.14,74.24,3,41.39,0
5.61,67.75,5,49.28,1
1.94,66.04,6,24.99,0
4.46,98.2,6,16.8,1
5.39,82.08,3,44.12,1
6.87,51.17,7,22.7,1
9.55,71.51,6,33.93,1
6.41,93.75,1,25.6,1
7.69,65.07,7,26.09,1
5.56,54.73,8,39.3,1
6.71,87.92,4,24.46,1
1.64,80.3,3,37.72,0
3.29,78.52,3,10.57,0
4.26,52.68,3,22.99,0
5.25,57.02,5,22.76,1
1.41,81.13,3,39.95,0
2.26,60.39,6,22.58,0
3.49,75.2,6,35.33,1
9.74,77.24,4,37.54,1
3.98,64.18,4,36.34,0
5.34,97.42,9,34.13,1
2.76,92.12,7,26.54,1
6.5,86.12,6,24.93,1
3.53,53.9,6,32.58,0
2.86,55.31,5,12.55,0
5.65,74.64,6,45.03,1
1.05,58.04,6,43.01,0
1.07,98.91,9,23.86,1
2.97,57.93,1,32.67,0
1.33,74.37,9,47.29,1
1.97,68.21,1,20.87,0
4.05,81.97,9,39.7,1
8.22,56.45,6,13.31,1
6.15,71.52,9,30.93,1
5.61,63.74,6,45.36,1
3.64,94.39,6,32.07,1
9.39,52.03,4,34.65,1
4.57,95.69,0,46.31,1
1.78,91.65,1,38.61,0
6.55,64.88,8,37.83,1
2.02,89.46,7,33.46,1
4.11,51.56,7,35.32,0
5.57,98.34,9,42.15,1
8.87,76.33,0,49.17,1
5.44,65.16,5,41.81,1
7.32,68.13,8,38.3,1
9.94,53.32,7,15.42,1
2.18,99.47,2,42.68,0
3.47,51.96,3,39.44,0
4.55,82.75,2,40.82,1
4.8,72.14,5,19.24,1
4.7,97.45,8,46.14,1
9.17,62.3,7,13.89,1
7.43,76.6,9,20.14,1
6.47,74.12,3,36.52,1
3.78,85.14,1,36.95,0
8.41,53.4,7,22.53,1
9.6,59.69,7,38.06,1
8.39,60.73,5,25.52,1
1.01,86.91,7,10.01,0
6.73,59.46,8,16.5,1
1.46,78.67,0,45.3,0
3.32,60.76,8,18.91,0
1.54,93.08,1,14.52,0
6.43,97.11,0,37.29,1
7.18,75.92,7,27.63,1
2.03,67.62,7,41.86,0
4.45,61.7,3,44.46,0
5.11,52.49,7,43.84,1
4.32,63.43,6,22.52,1
2.09,82.71,1,30.22,0
4.77,76.68,4,36.01,1
7.76,97.2,9,22.88,1
1.64,69.81,3,11.64,0
1.72,84.69,2,29.83,0
4.19,74.47,0,10.51,0
9.48,75.63,4,48.03,1
7.02,63.39,9,41.87,1
7.11,72.75,7,17.68,1
4.26,73.54,8,21.5,1
6.34,85.33,6,49.31,1
1.09,97.03,0,24.94,0
6.72,66.47,0,41.35,1
9.22,52.11,0,27.87,1
6.51,74.81,1,44.56,1
8.86,77.22,0,38.15,1
7.52,58.42,3,10.92,1
2.09,88.02,9,21.78,1
9.12,99.25,8,32.32,1
1.6,97.29,3,47.05,0
5.81,59.86,3,14.08,0
2.28,93.77,6,34.05,1
1.11,85.22,8,22.09,0
4.8,72.69,6,45.57,1
3.66,77.03,0,40.61,0
5.37,92.48,0,24.79,1
6.19,74.01,3,16.68,1
1.39,68.66,3,10.46,0
2.11,74.66,0,34.85,0
6.03,78.96,5,26.24,1
4.09,59.45,9,22.59,1
7.56,95.05,1,49.42,1
6.87,83.71,4,28.65,1
8.61,81.66,7,39.99,1
7.23,54.97,2,17.1,1
4.87,80.21,8,10.54,1
7.06,56.05,6,26.7,1
3.48,53.93,8,36.63,0
3.76,76.37,0,30.26,0
8.1,70.14,4,45.62,1
5.02,79.44,2,27.36,1
8.19,54.46,3,22.44,1
8.4,71.55,3,46.64,1
8.72,58.74,6,26.27,1
9.25,99.36,9,20.79,1
4.88,78.06,7,13.91,1
3.87,84.37,9,41.73,1
6.24,66.27,4,43.0,1
4.34,54.74,9,11.33,1
6.41,98.79,6,24.35,1
7.35,64.31,2,40.0,1
7.2,71.19,2,47.86,1
4.37,82.49,2,25.11,0
2.5,51.23,3,44.88,0
4.87,90.51,5,25.75,1
2.28,76.83,4,17.18,0
9.01,63.91,7,10.14,1
4.11,53.08,4,23.21,0
2.39,58.12,4,25.14,0
1.23,94.75,9,47.8,1
6.81,84.3,1,18.24,1
6.73,62.5,4,25.29,1
4.07,53.28,6,11.01,0
1.65,84.53,1,40.54,0
4.69,78.62,5,46.61,1
3.8,70.23,6,19.51,1
7.09,68.18,4,27.16,1
6.45,60.84,8,14.88,1
4.28,83.48,3,28.27,1
2.96,98.53,9,15.33,1
9.89,58.79,0,30.93,1
5.09,79.86,7,39.38,1
7.19,71.21,7,32.13,1
2.26,72.33,6,19.81,0
5.37,62.71,7,24.15,1
1.25,91.26,1,35.54,0
5.55,74.26,2,33.59,1
9.68,77.17,8,15.47,1
4.46,65.24,0,43.8,0
1.35,59.09,7,29.01,0
1.28,54.3,7,16.49,0
4.49,85.71,6,14.91,1
2.44,59.81,4,48.62,0
1.21,84.5,3,21.26,0
7.81,69.52,9,46.34,1
5.13,70.79,9,26.42,1
3.6,73.46,9,25.44,1
9.1,68.39,9,38.04,1
2.05,55.03,5,10.4,0
9.6,65.48,0,23.52,1
3.83,83.19,4,22.11,1
9.0,83.29,3,44.72,1
6.43,64.31,3,31.16,1
8.44,73.01,6,24.58,1
9.86,59.67,8,20.64,1
3.6,60.52,7,33.62,0
9.65,51.15,7,16.07,1
4.51,94.84,4,19.85,1
4.47,60.54,5,21.74,0
4.06,61.38,1,34.32,0
5.87,63.98,2,24.93,0
2.39,56.37,4,30.23,0
5.98,81.96,1,36.02,1
5.88,53.76,2,48.25,0
7.86,56.71,3,40.59,1
8.5,82.24,5,26.21,1
4.96,66.98,4,39.93,1
3.72,85.4,9,47.99,1
3.33,77.87,3,29.98,0
2.75,62.8,1,26.42,0
1.52,82.54,4,13.12,0
4.08,55.81,4,45.69,0
3.43,76.82,6,19.86,1
9.7,71.86,0,12.56,1
6.02,63.39,3,31.49,1
4.13,80.2,4,43.84,1
6.22,93.57,7,26.27,1
2.25,99.95,7,41.32,1
5.0,80.39,0,43.46,0
6.64,70.24,4,28.18,1
5.4,61.26,9,33.64,1
4.62,62.85,0,31.36,0
9.94,73.97,0,47.57,1
8.92,68.36,1,39.02,1
6.61,95.69,1,47.01,1
6.12,68.41,8,18.8,1
6.59,68.67,3,22.41,1
2.81,69.18,2,12.84,0
4.56,91.83,0,30.0,0
1.36,82.54,1,44.96,0
5.28,80.71,5,23.07,1
5.89,66.71,8,15.13,1
3.05,90.9,4,12.74,0
9.68,51.92,3,27.9,1
9.19,93.54,4,16.56,1
7.5,75.64,8,23.84,1
5.8,69.91,6,42.8,1
8.83,74.86,7,25.36,1
2.18,83.37,3,34.39,0
8.11,50.64,7,30.09,1
2.12,93.58,5,38.74,1
8.15,72.34,4,16.25,1
3.48,67.15,6,46.82,1
8.89,56.91,5,35.75,1
9.5,71.97,2,20.84,1
2.34,74.82,4,14.93,0
5.16,70.18,8,15.99,1
9.83,83.93,6,41.31,1
5.35,71.04,3,33.52,1
8.77,98.07,6,25.23,1
6.3,79.96,4,23.32,1
4.38,90.37,1,44.23,1
3.57,55.47,5,44.99,0
2.83,69.86,6,33.25,0
7.86,66.84,7,30.98,1
4.48,78.47,5,42.66,1
5.6,93.06,7,39.97,1
5.43,53.92,6,26.01,1
6.2,53.63,1,13.31,0
8.79,92.52,5,40.74,1
9.83,60.64,8,16.75,1
4.67,83.44,5,10.66,1
8.45,77.14,3,43.73,1
7.88,91.64,6,33.13,1
6.16,56.25,2,45.67,1
9.6,56.49,4,29.38,1
2.8,77.84,0,47.06,0
1.98,97.32,9,24.16,1
8.69,70.75,2,38.98,1
4.95,66.35,7,22.04,1
8.62,80.33,8,10.05,1
9.04,96.52,8,25.19,1
1.56,91.85,9,39.51,1
8.95,99.77,1,16.0,1
5.03,51.13,3,30.19,0
5.59,55.64,4,18.49,0
6.64,80.47,2,12.98,1
9.34,91.03,0,34.7,1
1.17,64.26,5,48.08,0
5.29,61.96,9,22.43,1
7.19,89.35,1,33.23,1
7.5,52.82,8,48.14,1
7.23,68.47,0,36.02,1
2.21,75.29,8,36.92,1
3.69,78.02,6,17.16,1
4.23,86.43,9,29.7,1
8.24,67.74,1,24.68,1
3.51,80.63,5,28.84,1
2.9,79.27,7,42.03,1
9.62,77.38,1,28.43,1
1.08,82.02,4,12.51,0
9.98,62.97,5,46.22,1
7.09,54.23,2,31.79,1
8.46,55.96,1,46.98,1
3.65,61.23,5,32.89,0
1.13,75.01,2,12.79,0
7.64,92.02,1,32.11,1
8.51,85.06,0,33.03,1
7.66,89.45,7,18.57,1
2.29,67.55,0,28.84,0
7.78,70.23,4,28.38,1
7.92,69.68,5,34.92,1
6.93,59.59,2,20.38,1
7.9,53.06,6,33.27,1
8.61,79.55,1,19.64,1
6.52,99.46,6,27.86,1
1.8,58.34,1,14.91,0
5.39,52.33,4,11.49,0
1.7,88.98,6,22.82,0
4.67,62.63,2,20.98,0
4.66,91.48,3,26.28,1
1.59,85.2,0,48.48,0
4.14,97.28,2,30.89,1
2.0,70.45,8,32.13,0
8.27,83.1,9,47.66,1
9.53,73.24,4,46.85,1
1.65,81.53,7,45.36,0
9.6,72.48,1,13.92,1
5.7,59.43,2,35.37,0
3.7,75.39,6,42.32,1
1.69,76.43,9,43.42,1
5.51,90.53,3,33.12,1
8.15,86.78,8,10.7,1
7.36,83.19,6,48.95,1
1.45,55.67,0,28.89,0
1.66,86.03,3,25.74,0
4.63,75.02,9,25.8,1
3.66,94.7,5,26.97,1
3.09,95.99,5,19.69,1
3.53,52.76,9,23.09,1
8.23,91.03,5,49.41,1
9.36,51.88,4,24.73,1
4.65,68.36,2,31.07,0
9.15,77.11,1,43.93,1
3.89,57.41,2,31.1,0
5.29,87.32,8,22.98,1
3.03,50.42,2,30.95,0
6.76,58.43,2,14.56,1
9.81,79.04,0,15.2,1
6.43,85.72,1,37.76,1
4.22,95.83,2,46.7,1
6.83,85.27,1,39.03,1
2.11,83.59,7,12.98,0
9.0,69.72,5,26.12,1
5.53,50.06,6,10.1,1
5.04,56.01,0,30.45,0
6.27,76.73,5,17.73,1
6.62,83.76,1,44.73,1
1.65,70.87,5,14.17,0
7.14,86.53,2,10.06,1
3.18,76.09,6,28.05,1
7.43,53.71,2,16.22,1
8.4,59.6,8,39.52,1
8.24,92.0,2,46.8,1
5.97,86.25,6,11.68,1
5.68,94.74,3,25.82,1
2.29,55.88,7,49.87,0
7.98,99.51,1,39.31,1
3.44,60.47,7,48.13,1
5.47,50.59,8,16.56,1
3.56,99.87,7,18.85,1
2.2,64.05,5,16.19,0
6.67,83.4,9,22.09,1
1.49,58.83,0,38.98,0
7.74,79.01,6,16.6,1
3.86,95.2,0,30.97,0
1.0,66.01,6,20.77,0
5.6,83.51,1,43.17,1
1.42,59.4,7,10.26,0
3.49,81.24,1,18.92,0
7.36,66.82,2,34.21,1
1.56,60.56,2,13.87,0
8.55,65.66,0,28.65,1
1.03,58.94,4,27.45,0
3.22,95.1,4,44.1,1
7.67,69.86,9,35.02,1
3.85,62.26,4,35.59,0
1.92,72.42,8,48.07,1
4.24,66.03,5,49.29,1
